"Type","Path","Name","Description","Unit"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HBaja","8HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HBaja","8HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HE3","8HE3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HE3","8HE3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8Hac","8Hac","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8Hac","8Hac","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8VV","8VV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8VV","8VV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AV","8AV","@123","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AV","8AV","@123","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AO","8AO","@123","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AO","8AO","@123","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8T","8T","","C"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8T","8T","","C"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\Delta","Delta","","C"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\Delta","Delta","","C"
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR","ML-004E-VENTILADOR","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100","FA-100","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR","MOTOR","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR","ML-004E-VENTILADOR","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100","FA-100","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR","MOTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1HV","1HV","@ABC","mm/s"
