"Type","Data Path","DTS","Note"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2T","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1VV","",""
