title,category,summit,date,url
"La Uchulú se sometió a operación para reducir su manzana de Adán: ""No me gustaba""",Espectáculos,"La influencer señaló que se operó porque esa parte de su cuerpo le causaba inseguridad. Además, anunció su lanzamiento a la música.",2025-05-30 21:07,/espectaculos/la-uchulu-se-sometio-operacion-para-reducir-su-manzana-de-adan/
Trujillo: Matan a miembro de mafia 'Gota a Gota' que había sido secuestrado (VIDEO),Policiales,"El ciudadano colombiano Jorge Duque Mejía fue secuestrado el domingo pasado, presuntamente por una banda enemiga, y sus captores exigieron 50 mil soles a su familia.",2025-05-30 20:20,/policiales/trujillo-matan-miembro-de-mafia-gota-gota-que-habia-sido-secuestrado/
¿Cuándo dejará de funcionar el antiguo aeropuerto Jorge Chávez?,Lima,Conoce aquí el día en que el emblemático puerto aéreo dejará de funcionar y ya no podrás ingresar.,2025-05-30 20:03,/lima/cuando-dejara-de-funcionar-el-antiguo-aeropuerto-jorge-chavez/
"Loretta Swit, actriz de ""M*A*S*H"", falleció a los 87 años",Celebridades,"La causa de muerte será establecida por el departamento forense pero se piensa que fue natural, según su representante, Harlan Boll.",2025-05-30 20:02,/celebridades/loretta-swit-actriz-de-mash-fallecio-los-87-anos/
Científicos reportan haber hallado un nuevo planeta enano en el sistema solar,Ciencia,"Bautizado 2017 OF201, este objeto mide unos 700 kilómetros de diámetro, según el estudio preliminar.",2025-05-30 19:45,/ciencia/cientificos-reportan-haber-hallado-un-nuevo-planeta-enano-en-el-sistema-solar/
Trujillo: Al menos 19 personas fueron atacadas por perros callejeros en la urbanización Rázuri,Perú,Vecinos de la zona pidieron que los canes sean trasladados a un albergue para evitar más ataques.,2025-05-30 19:26,/peru/trujillo-al-menos-19-personas-atacadas-perros-callejeros-en-urbanizacion-razuri/
Pamela López declina pelear contra Ana Siucho en 'Celebrity Combat,Espectáculos,La segunda edición de la velada peruana será este 19 de junio en el Coliseo Eduardo Dibós.,2025-05-30 18:43,/espectaculos/pamela-lopez-declina-pelear-contra-ana-siucho-en-celebrity-combat/
'TQ': Nicole Zignago se junta con Reik para colaborar en su nuevo EP ,Espectáculos,La compositora peruana se une a la banda mexicana en un material que redefine su sonido.,2025-05-30 18:37,/espectaculos/tq-nicole-zignago-se-junta-con-reik-para-colaborar-en-su-nuevo-ep/
Vapeo y cigarrillos: el doble riesgo que amenaza la salud de los jóvenes,Vida,El consumo de tabaco y vapeo en jóvenes aumenta el riesgo de desarrollar cáncer y enfermedades crónicas en el futuro.,2025-05-30 18:34,/vida/vapeo-y-cigarrillos-el-doble-riesgo-que-amenaza-la-salud-de-los-jovenes/
"Trump acusa a China de haber ""violado"" el acuerdo sobre aranceles",Mundo,"El secretario del Tesoro estadounidense, Scott Bessent, declaró a la cadena Fox News que las negociaciones comerciales con China están ""algo estancadas""",2025-05-30 18:19,/mundo/trump-acusa-china-de-haber-violado-el-acuerdo-sobre-aranceles/
¿Estás planeando una escapada a la Selva Central? No te puedes perder la Ruta del Café,Perú,"Oxapampa y Villa Rica se consolidan como destinos tradicionales para vivir el café desde su origen, en un recorrido que combina naturaleza y cultura cafetera.",2025-05-30 18:14,/peru/estas-planeando-una-escapada-la-selva-central-no-te-puedes-perder-la-ruta-del-cafe/
Caso Ashley Vargas: FAP encuentra nueva pieza de la aeronave desaparecida,Perú,La Fuerza Aérea del Perú emitió un comunicado para informar que el fragmento del avión militar KT-1P se halló en la Playa Salinas.,2025-05-30 18:09,/peru/caso-ashley-vargas-fap-encuentra-nueva-pieza-de-la-aeronave-desaparecida/
¿Qué pasó? Keanu Reeves rechaza el guion de 'Constantine 2',Espectáculos,"La película original fue estrenada en el 2005 y tuvo en el elenco también a, Peter Stormare, Tilda Swinton, Rachel Weisz, Djimon Hounsou y Shia LaBeouf.",2025-05-30 18:08,/espectaculos/que-paso-keanu-reeves-rechaza-el-guion-de-constantine-2/
